Species,Accuracy,AUC PR,AUC ROC,Average Precision
19284,1.0,1.0,1.0,1.0
13270,0.4,0.5535714285714286,0.48000000000000004,0.6428571428571429
10717,0.9,0.9027777777777777,0.9523809523809523,0.9166666666666665
32944,0.8,1.0,1.0,1.0
39579,0.8,0.9633333333333334,0.9600000000000001,0.9666666666666667
27123,1.0,1.0,1.0,1.0
43339,0.7,0.8541666666666666,0.8958333333333334,0.8541666666666666
42888,1.0,1.0,1.0,1.0
74831,0.9,0.9033333333333335,0.9,0.8466666666666667
135104,0.8,0.9071428571428571,0.8400000000000001,0.9
180009,1.0,1.0,1.0,1.0
42228,0.9,0.9196428571428572,0.8800000000000001,0.925
42138,0.8,0.9633333333333334,0.96,0.9666666666666667
43561,0.7,0.8347619047619047,0.8400000000000001,0.8528571428571429
43593,0.7,0.9380952380952381,0.92,0.9428571428571428
44395,1.0,1.0,1.0,1.0
45997,0.9,0.9166666666666667,0.9,0.8333333333333334
47014,0.9,1.0,1.0,1.0
41676,0.8,0.75,0.875,0.5
43523,0.6,0.719642857142857,0.72,0.6583333333333332
41888,1.0,1.0,1.0,1.0
46256,1.0,1.0,1.0,1.0
423656,1.0,1.0,1.0,1.0
1369291,0.9,0.9027777777777777,0.9523809523809523,0.9166666666666666
180008,0.9,1.0,1.0,1.0
180001,0.9,0.875,0.9285714285714286,0.75
44282,0.7,0.8714285714285714,0.8400000000000001,0.8095238095238095
42278,0.6,0.7285714285714285,0.58,0.5571428571428572
42223,0.7,0.7916666666666666,0.7200000000000002,0.75
46010,0.7,0.7833333333333332,0.7000000000000001,0.6333333333333333
43567,0.7,0.8625,0.8400000000000001,0.7650000000000001
41180,0.5,0.5977777777777777,0.5599999999999999,0.5533333333333332
31226,1.0,1.0,1.0,1.0
539913,1.0,1.0,1.0,1.0
528911,0.9,0.55,0.5,0.1
33061,0.9,0.9166666666666666,0.96875,0.8333333333333333
35854,0.7,0.8047619047619047,0.76,0.6761904761904761
717903,1.0,1.0,1.0,1.0
318623,1.0,1.0,1.0,1.0
33189,1.0,1.0,1.0,1.0
30947,0.7,0.9166666666666666,0.9166666666666667,0.8333333333333333
36433,0.8,0.75,0.875,0.5
108348,1.0,1.0,1.0,1.0
29808,1.0,1.0,1.0,1.0
539693,0.9,1.0,1.0,1.0
33187,1.0,1.0,1.0,1.0
539050,0.8,0.9166666666666667,0.9523809523809524,0.8333333333333333
28557,0.8,1.0,1.0,1.0
35430,0.5,0.6517857142857143,0.5833333333333334,0.4464285714285714
29976,0.8,0.8564285714285713,0.86,0.8028571428571429
73823,0.8,0.9183333333333333,0.92,0.9266666666666666
33297,0.4,0.6656746031746031,0.7142857142857143,0.5694444444444444
35034,1.0,1.0,1.0,1.0
68530,0.8,1.0,1.0,1.0
29793,1.0,1.0,1.0,1.0
476523,0.8,0.9027777777777777,0.9523809523809524,0.9166666666666666
26729,1.0,1.0,1.0,1.0
26197,0.5,0.6504761904761904,0.6,0.6676190476190476
65212,0.8,0.7916666666666666,0.9375,0.8333333333333333
22846,0.9,0.9633333333333334,0.9600000000000001,0.9666666666666668
67258,0.7,1.0,1.0,1.0
27658,0.9,0.75,0.9444444444444444,0.5
67188,0.8,1.0,1.0,1.0
64975,1.0,1.0,1.0,1.0
23654,1.0,1.0,1.0,1.0
135055,1.0,1.0,1.0,1.0
27005,0.8,0.9183333333333332,0.92,0.9266666666666665
22974,0.9,0.95,0.9,0.9
64987,1.0,1.0,1.0,1.0
517130,0.9,1.0,1.0,1.0
26747,1.0,1.0,1.0,1.0
24268,1.0,1.0,1.0,1.0
26395,1.0,1.0,1.0,1.0
517053,0.4,0.6582539682539683,0.54,0.6476190476190476
64978,1.0,1.0,1.0,1.0
22066,1.0,1.0,1.0,1.0
64972,1.0,1.0,1.0,1.0
65996,1.0,1.0,1.0,1.0
13350,0.8,0.8416666666666668,0.86,0.7833333333333333
20379,0.9,1.0,1.0,1.0
8046,0.6,0.7,0.6,0.56
14637,0.9,1.0,1.0,1.0
4585,1.0,1.0,1.0,1.0
144484,0.9,1.0,1.0,1.0
143853,,,,
5286,1.0,1.0,1.0,1.0
19482,0.7,0.8242857142857143,0.74,0.8142857142857143
3924,,,,
4385,0.9,0.875,0.8333333333333334,0.85
73078,1.0,1.0,1.0,1.0
11858,0.6,0.6857142857142857,0.76,0.7714285714285716
508977,0.9,0.675,0.71875,0.6
9491,0.7,0.7229761904761904,0.7,0.7116666666666667
5430,1.0,1.0,1.0,1.0
728,0.5,0.44365079365079363,0.5952380952380952,0.3595238095238095
9419,0.9,0.875,0.8333333333333334,0.85
13702,0.9,0.9833333333333334,0.9800000000000001,0.9666666666666667
7123,0.7,0.5663095238095238,0.6,0.565
9611,1.0,1.0,1.0,1.0
116877,0.9,0.9433333333333334,0.9400000000000001,0.9266666666666666
