Species,F1
42888,0.668151642208246
135104,0.09746192893401015
19284,0.02229911572472126
10717,0.015453562046051614
39579,0.4958705056819358
32944,0.03656307129798903
13270,0.5124688662710248
74831,
27123,0.19961051606621227
43339,0.4179591836734694
180009,0.2532981530343008
42228,
42138,0.004043710585856641
43561,0.021914229736593863
43593,0.3932975023711666
44395,0.5159899265187843
45997,
47014,0.6598371777476255
41676,0.1509808500700607
43523,
41888,
46256,0.2090997095837367
423656,0.1807368924738533
1369291,
180008,0.0861597048673093
180001,0.39517325064042064
44282,0.04111140862186155
42278,0.015546183742661044
42223,0.5590232712565271
46010,0.4288531980839673
43567,0.014809506747880091
41180,0.05787227857903617
31226,0.003943152879323092
539913,0.0861244019138756
528911,0.0
33061,0.03230890464933018
35854,0.1303677604051971
717903,0.28085106382978725
318623,0.026058631921824105
33189,0.013812154696132596
30947,0.0
36433,0.0
108348,0.30365853658536585
29808,
539693,
33187,0.001374055336955843
539050,
28557,0.538581003760013
35430,0.451975051975052
29976,0.7962552994458191
73823,0.03626220362622036
33297,0.0
35034,0.2644610995313909
68530,0.11686143572621036
29793,0.37095890410958904
476523,0.0027675276752767526
26729,0.06126126126126126
26197,0.19384915112719175
65212,0.025958345910051313
22846,0.004335114426857546
67258,0.08484848484848485
27658,0.01639344262295082
67188,0.17998882057015092
64975,0.0564042303172738
23654,0.5709643878346764
135055,0.0
27005,0.0
22974,0.2548582995951417
64987,0.09660574412532637
517130,0.004311400715300573
26747,
24268,0.607445406626506
26395,0.19714656290531776
517053,0.24670461354104253
64978,0.38525397495427044
22066,0.11314984709480122
64972,0.0
65996,0.011090573012939002
13350,0.02918918918918919
20379,0.21422861710631494
8046,
14637,0.5416248746238717
4585,0.027217438429577887
144484,0.5092838196286472
143853,
5286,0.582566702885428
19482,
3924,0.08102404291828563
4385,0.006222990492653414
73078,0.1476510067114094
11858,0.24246737448382585
508977,0.0
9491,0.6975910012972201
5430,0.45361766799407477
728,0.2877739892839747
9419,0.5524572369652281
13702,
7123,0.29227478297290965
9611,0.09100364014560583
116877,
